Country,Salary
Switzerland,"5,310.74 $"
Singapore,"3,210.07 $"
United States,"3,205.93 $"
Qatar,"3,178.69 $"
Iceland,"3,128.77 $"
Norway,"3,107.03 $"
Denmark,"3,044.51 $"
Australia,"3,019.11 $"
Netherlands,"2,559.96 $"
Japan,"2,536.98 $"
Finland,"2,535.86 $"
Ireland,"2,534.37 $"
Sweden,"2,520.57 $"
Hong Kong,"2,501.10 $"
United Arab Emirates,"2,481.66 $"
Germany,"2,477.92 $"
New Zealand,"2,456.05 $"
Canada,"2,421.76 $"
Israel,"2,314.47 $"
United Kingdom,"2,309.04 $"
South Korea,"2,241.69 $"
Belgium,"2,201.61 $"
Austria,"2,098.63 $"
France,"2,081.95 $"
Saudi Arabia,"1,608.16 $"
Italy,"1,519.54 $"
Spain,"1,429.30 $"
Bahrain,"1,382.59 $"
Taiwan,"1,318.89 $"
Estonia,"1,230.00 $"
Cyprus,"1,206.17 $"
Malta,"1,191.52 $"
Slovenia,"1,177.30 $"
South Africa,"1,133.93 $"
Czech Republic,"1,125.33 $"
Lebanon,993.20 $
Portugal,918.45 $
China,889.70 $
Slovakia,886.07 $
Lithuania,853.77 $
Poland,842.02 $
Croatia,836.72 $
Malaysia,829.97 $
Latvia,827.48 $
Palestinian Territory,822.00 $
Costa Rica,787.43 $
Greece,780.80 $
Panama,719.35 $
Hungary,687.48 $
Uruguay,629.18 $
Chile,623.73 $
Thailand,623.47 $
Jordan,599.01 $
Romania,591.39 $
Bulgaria,576.07 $
Iraq,568.85 $
Montenegro,516.62 $
Ecuador,516.02 $
Russia,507.36 $
Mexico,496.94 $
Argentina,481.09 $
Bosnia And Herzegovina,476.35 $
Bolivia,474.45 $
Turkey,464.84 $
Kosovo (Disputed Territory),464.54 $
Peru,447.76 $
Belarus,442.91 $
Honduras,441.97 $
India,437.67 $
Serbia,430.30 $
Brazil,429.32 $
Morocco,406.45 $
Kazakhstan,378.76 $
Vietnam,378.40 $
Macedonia,370.28 $
Kenya,363.27 $
Ukraine,358.29 $
Dominican Republic,342.35 $
Bangladesh,338.64 $
Indonesia,338.40 $
Albania,337.50 $
Iran,322.78 $
Armenia,320.94 $
Colombia,312.11 $
Azerbaijan,306.63 $
Tunisia,292.93 $
Philippines,291.09 $
Algeria,274.54 $
Georgia,262.59 $
Sri Lanka,245.29 $
Pakistan,220.20 $
Egypt,206.78 $
Nepal,194.74 $
Venezuela,21.15 $
